archivo,COL_1_REAL,COL_1_EXT,COMP_COL_1,COL_2_REAL,COL_2_EXT,COMP_COL_2,COL_3_REAL,COL_3_EXT,COMP_COL_3,CODIGO_COMP,MOTIVOS ERROR
348.png,COL 1. 12837 92743,COL 1. 12837 92743,True,COL 2. 56300 00894,COL 2. 56300 00894,True,COL 3. 53535 08851,COL 3. 53535 08851,True,True,
374.png,COL 1. 16579 72589,COL 1. 16579 72589,True,COL 2. 71314 01595,COL 2. 71314 01595,True,COL 3. 63531 14034,COL 3. 63531 14034,True,True,
base64decoded - 2026-01-21T151846.052.png,COL 1. 64806 06062,COL 1. 64806 06062,True,COL 2. 16007 20851,COL 2. 16007 20851,True,COL 3. 50498 02985,COL 3. 50498 02985,True,True,
360.png,COL 1. 82359 81604,COL 1. 82359 81604,True,COL 2. 63366 06595,COL 2. 63366 06595,True,COL 3. 83830 34528,COL 3. 83830 34528,True,True,
base64decoded - 2026-01-21T154223.919.png,COL 1. 16189 17608,COL 1. 16189 17608,True,COL 2. 41667 56315,COL 2. 41667 56315,True,COL 3. 86800 46054,COL 3. 86800 46054,True,True,
236.jpeg,COL 1. 79359 35404,COL 1. 79359 35404,True,COL 2. 93369 03584,COL 2. 93369 03584,True,COL 3. 83836 37461,COL 3. 83836 37461,True,True,
base64decoded - 2026-01-21T155135.858.png,COL 1. 36526 63396,COL 1. 36526 63396,True,COL 2. 81460 66555,COL 2. 81460 66555,True,COL 3. 64860 16071,COL 3. 64860 16071,True,True,
base64decoded - 2026-01-21T160712.184.png,COL 1. 51586 17160,COL 1. 51586 17160,True,COL 2. 31130 03560,COL 2. 31130 03560,True,COL 3. 61543 17546,COL 3. 61543 17546,True,True,
base64decoded (17).png,COL 1. 81656 93353,COL 1. 81656 93353,True,COL 2. 46337 03894,COL 2. 46337 03894,True,COL 3. 53533 07310,COL 3. 53533 07310,True,True,
base64decoded - 2026-01-21T155418.210.png,COL 1. 91347 75596,COL 1. 91347 75596,True,COL 2. 71017 31322,COL 2. 71017 31322,True,COL 3. 00581 44081,COL 3. 00581 44081,True,True,
176.png,COL 1. 92532 56115,COL 1. 92532 56115,True,COL 2. 31016 21553,COL 2. 31016 21553,True,COL 3. 90394 71760,COL 3. 90394 71760,True,True,
88.png,COL 1. 40855 82840,COL 1. 40855 82840,True,COL 2. 44347 04898,COL 2. 44347 04898,True,COL 3. 63836 67654,COL 3. 63836 67654,True,True,
162.png,COL 1. 78815 75344,COL 1. 78815 75344,True,COL 2. 74007 30823,COL 2. 74007 30823,True,COL 3. 60389 69655,COL 3. 60389 69655,True,True,
189.png,COL 1. 87402 79102,COL 1. 87402 79102,True,COL 2. 70019 61477,COL 2. 70019 61477,True,COL 3. 30752 85114,COL 3. 30752 85114,True,True,
77.png,COL 1. 30360 89717,COL 1. 30360 89717,True,COL 2. 41112 61347,COL 2. 41112 61347,True,COL 3. 01722 44029,COL 3. 01722 44029,True,True,
