archivo,columna,ground_truth,detectado,CER,WER,,"NOTA: Este código se ejecuto en Visual Studio Code y tardó una duracion de 1 hora 17 minutos en procesar el data set completo, ",,,,,,,
base64decoded (66).png,COL_1,9635346105,9635346105,0,0,,"este excel muestra la comapracion entre un dataset transcrito a mano de los numeros necesarios para este proyecto, COL1-3, ",,,,,,,
base64decoded (66).png,COL_2,9301261571,9301261571,0,0,,y lo que fue detectado por el codigo. La siguiente tabla muestra el porcentaje de Character Error Rate y Word Error Rate de todo ,,,,,,,
base64decoded (66).png,COL_3,0075236595,0075236595,0,0,,el dataset,,,,,,,
base64decoded - 2026-01-21T160017.147.png,COL_1,2848216143,2848216143,0,0,,,,,,,,,
base64decoded - 2026-01-21T160017.147.png,COL_2,1461351810,1461351810,0,0,,Resultados Finales:,,,,,,,
base64decoded - 2026-01-21T160017.147.png,COL_3,6650763317,6650763317,0,0,,,,,,,,,
base64decoded - 2026-01-21T164527.165.jfif,COL_1,4656289368,4656289368,0,0,,COL 1 ---> CER promedio: 0.0761 | WER promedio: 0.0801,,,,,,,
base64decoded - 2026-01-21T164527.165.jfif,COL_2,1015663543,1015663543,0,0,,COL 2 ---> CER promedio: 0.1042 | WER promedio: 0.1072,,,,,,,
base64decoded - 2026-01-21T164527.165.jfif,COL_3,6152358744,,1,1,,COL 3 ---> CER promedio: 0.0815 | WER promedio: 0.0836,,,,,,,
base64decoded - 2026-01-21T160008.428.png,COL_1,8650285413,8650285413,0,0,,,,,,,,,
base64decoded - 2026-01-21T160008.428.png,COL_2,0300930523,0300930523,0,0,,CER global: 0.0873,,,,,,,
base64decoded - 2026-01-21T160008.428.png,COL_3,8048839757,8048839757,0,0,,WER global: 0.0903,,,,,,,
base64decoded - 2026-01-21T161714.766.png,COL_1,6118198090,6118198090,0,0,,,,,,,,,
base64decoded - 2026-01-21T161714.766.png,COL_2,7165950510,7165950510,0,0,,,,,,,,,
base64decoded - 2026-01-21T161714.766.png,COL_3,9650516417,9650516417,0,0,,,,,,,,,
base64decoded - 2026-01-21T161110.961.png,COL_1,7151985764,7151985764,0,0,,,,,,,,,
base64decoded - 2026-01-21T161110.961.png,COL_2,6001931521,6001931521,0,0,,,,,,,,,
base64decoded - 2026-01-21T161110.961.png,COL_3,2078250865,2078250865,0,0,,,,,,,,,
209.png,COL_1,6156457736,,1,1,,,,,,,,,
209.png,COL_2,6361651518,,1,1,,,,,,,,,
209.png,COL_3,0670237301,,1,1,,,,,,,,,
312.png,COL_1,2065687166,2065687166,0,0,,,,,,,,,
312.png,COL_2,6611091840,6611091840,0,0,,,,,,,,,
312.png,COL_3,2131406869,2131406869,0,0,,,,,,,,,
base64decoded - 2026-01-21T154233.817.png,COL_1,2705962033,2705962033,0,0,,,,,,,,,
base64decoded - 2026-01-21T154233.817.png,COL_2,9010590473,9010590473,0,0,,,,,,,,,
base64decoded - 2026-01-21T154233.817.png,COL_3,3137988470,3137988470,0,0,,,,,,,,,
base64decoded - 2026-01-21T160721.511.png,COL_1,0642907504,0642907504,0,0,,,,,,,,,
base64decoded - 2026-01-21T160721.511.png,COL_2,7063553414,7063553414,0,0,,,,,,,,,
base64decoded - 2026-01-21T160721.511.png,COL_3,3650387683,3650387683,0,0,,,,,,,,,
base64decoded - 2026-01-21T154459.501.png,COL_1,1934999337,1934999337,0,0,,,,,,,,,
base64decoded - 2026-01-21T154459.501.png,COL_2,5003563373,5003563373,0,0,,,,,,,,,
base64decoded - 2026-01-21T154459.501.png,COL_3,2055398451,2055398451,0,0,,,,,,,,,
102.png,COL_1,3055659450,3055659450,0,0,,,,,,,,,
102.png,COL_2,5114464548,5114464548,0,0,,,,,,,,,
102.png,COL_3,9182613568,9182613568,0,0,,,,,,,,,
base64decoded - 2026-01-21T152532.893.png,COL_1,7405935402,7405935402,0,0,,,,,,,,,
base64decoded - 2026-01-21T152532.893.png,COL_2,8004564476,8004564476,0,0,,,,,,,,,
base64decoded - 2026-01-21T152532.893.png,COL_3,9085680368,9085680368,0,0,,,,,,,,,
base64decoded (9).png,COL_1,3638423541,3638423541,0,0,,,,,,,,,
base64decoded (9).png,COL_2,1141761358,1141761358,0,0,,,,,,,,,
base64decoded (9).png,COL_3,0476240061,0476240061,0,0,,,,,,,,,
base64decoded (15).png,COL_1,1451736161,1451736161,0,0,,,,,,,,,
base64decoded (15).png,COL_2,3001221550,3001221550,0,0,,,,,,,,,
base64decoded (15).png,COL_3,6059756736,6059756736,0,0,,,,,,,,,
base64decoded - 2026-01-21T164233.237.jfif,COL_1,2350264411,2350264411,0,0,,,,,,,,,
base64decoded - 2026-01-21T164233.237.jfif,COL_2,4014690570,4014690570,0,0,,,,,,,,,
base64decoded - 2026-01-21T164233.237.jfif,COL_3,6147851784,6147851784,0,0,,,,,,,,,
base64decoded - 2026-01-21T153808.587.png,COL_1,5914803194,5914803194,0,0,,,,,,,,,
base64decoded - 2026-01-21T153808.587.png,COL_2,0101431525,0101431525,0,0,,,,,,,,,
base64decoded - 2026-01-21T153808.587.png,COL_3,9058171199,9058171199,0,0,,,,,,,,,
58.png,COL_1,2545627305,2545627305,0,0,,,,,,,,,
58.png,COL_2,2061251410,2061251410,0,0,,,,,,,,,
58.png,COL_3,6630485052,6630485052,0,0,,,,,,,,,
196.png,COL_1,4856299035,4856299035,0,0,,,,,,,,,
196.png,COL_2,0300660570,0300660570,0,0,,,,,,,,,
196.png,COL_3,0355535370,0355535370,0,0,,,,,,,,,
11.jpeg,COL_1,8754503264,,1,1,,,,,,,,,
11.jpeg,COL_2,7144464556,7144464556,0,0,,,,,,,,,
11.jpeg,COL_3,6486611692,6486611692,0,0,,,,,,,,,
172.png,COL_1,2154462158,2154462158,0,0,,,,,,,,,
172.png,COL_2,6331901591,6331901591,0,0,,,,,,,,,
172.png,COL_3,1953130029,1953130029,0,0,,,,,,,,,
62.png,COL_1,4605030626,4605030626,0,0,,,,,,,,,
62.png,COL_2,3006566375,3006566375,0,0,,,,,,,,,
62.png,COL_3,4085094125,4085094125,0,0,,,,,,,,,
base64decoded - 2026-01-21T151921.456.png,COL_1,4357026390,4357026390,0,0,,,,,,,,,
