Archivo Físico,Match Excel,COL_1 Esperado,COL_1 Extraído,Match COL_1,COL_2 Esperado,COL_2 Extraído,Match COL_2,COL_3 Esperado,COL_3 Extraído,Match COL_3,Exactitud Ticket
348.png,348.png,COL 1. 12837 92743,COL 1. 12837 92743,True,COL 2. 56300 00894,COL 2. 56300 00894,True,COL 3. 53535 08851,COL 3. 53535 08851,True,3/3
374.png,374.png,COL 1. 16579 72589,,False,COL 2. 71314 01595,COL 2. 71314 01595,True,COL 3. 63531 14034,COL 3. 63531 14034,True,2/3
base64decoded - 2026-01-21T151846.052.png,base64decoded - 2026-01-21T151846.052.png,COL 1. 64806 06062,COL 1. 64806 06062,True,COL 2. 16007 20851,COL 2. 16007 20851,True,COL 3. 50498 02985,COL 3. 50498 02985,True,3/3
360.png,360.png,COL 1. 82359 81604,COL 1. 82359 81604,True,COL 2. 63366 06595,COL 2. 63366 06595,True,COL 3. 83830 34528,COL 3. 83830 34528,True,3/3
base64decoded - 2026-01-21T154223.919.png,base64decoded - 2026-01-21T154223.919.png,COL 1. 16189 17608,COL 1. 16189 17608,True,COL 2. 41667 56315,COL 2. 41667 56315,True,COL 3. 86800 46054,COL 3. 86800 46054,True,3/3
236.jpeg,236.jpeg,COL 1. 79359 35404,COL 1. 79359 35404,True,COL 2. 93369 03584,COL 2. 93369 03584,True,COL 3. 83836 37461,COL 3. 83836 37461,True,3/3
base64decoded - 2026-01-21T155135.858.png,base64decoded - 2026-01-21T155135.858.png,COL 1. 36526 63396,,False,COL 2. 81460 66555,,False,COL 3. 64860 16071,,False,0/3
base64decoded - 2026-01-21T160712.184.png,base64decoded - 2026-01-21T160712.184.png,COL 1. 51586 17160,COL 1. 51586 17160,True,COL 2. 31130 03560,COL 2. 31130 03560,True,COL 3. 61543 17546,COL 3. 61543 17546,True,3/3
base64decoded (17).png,base64decoded (17).png,COL 1. 81656 93353,COL 1. 81656 93353,True,COL 2. 46337 03894,COL 2. 46337 03894,True,COL 3. 53533 07310,COL 3. 53533 07310,True,3/3
base64decoded - 2026-01-21T155418.210.png,base64decoded - 2026-01-21T155418.210.png,COL 1. 91347 75596,COL 1. 91347 75596,True,COL 2. 71017 31322,COL 2. 71017 31322,True,COL 3. 00581 44081,COL 3. 00581 44081,True,3/3
176.png,176.png,COL 1. 92532 56115,COL 1. 92532 21553,False,COL 2. 31016 21553,,False,COL 3. 90394 71760,,False,0/3
88.png,88.png,COL 1. 40855 82840,COL 1. 40855 82840,True,COL 2. 44347 04898,COL 2. 44347 04898,True,COL 3. 63836 67654,COL 3. 63836 67654,True,3/3
162.png,162.png,COL 1. 78815 75344,COL 1. 78815 75344,True,COL 2. 74007 30823,COL 2. 74007 30823,True,COL 3. 60389 69655,COL 3. 60389 69655,True,3/3
189.png,189.png,COL 1. 87402 79102,,False,COL 2. 70019 61477,,False,COL 3. 30752 85114,,False,0/3
77.png,77.png,COL 1. 30360 89717,COL 1. 30360 89717,True,COL 2. 41112 61347,COL 2. 41112 61347,True,COL 3. 01722 44029,COL 3. 01722 44029,True,3/3
10.jpeg,10.jpeg,COL 1. 15869 47453,,False,COL 2. 66601 50814,COL 2. 66601 50814,True,COL 3. 56408 09133,,False,1/3
63.png,63.jpeg,COL 1. 00542 42110,,False,COL 2. 31317 01599,,False,COL 3. 83537 71495,,False,0/3
base64decoded (40).png,base64decoded (40).png,COL 1. 22813 86083,,False,COL 2. 44005 20850,COL 2. 44005 20850,True,COL 3. 10595 67274,,False,1/3
base64decoded - 2026-01-21T163655.202.png,base64decoded - 2026-01-21T163655.202.png,COL 1. 73159 95093,,False,COL 2. 81039 60571,COL 2. 81039 60571,True,COL 3. 90359 75208,,False,1/3
base64decoded (56).png,base64decoded (56).png,COL 1. 54576 46056,COL 1. 54576 46056,True,COL 2. 21104 60540,,False,COL 3. 91525 72332,COL 3. 91525 72332,True,2/3
228.png,228.png,COL 1. 76502 72117,COL 1. 76502 72117,True,COL 2. 71317 01590,COL 2. 71317 01590,True,COL 3. 93537 17960,COL 3. 93537 17960,True,3/3
35.jfif,35.jfif,COL 1. 43563 09196,,False,COL 2. 51134 63543,,False,COL 3. 91523 14778,,False,0/3
200.png,200.png,COL 1. 57574 89158,,False,COL 2. 53116 61540,,False,COL 3. 41324 35728,,False,0/3
214.png,214.png,COL 1. 43524 46312,COL 1. 43524 46312,True,COL 2. 53009 20552,COL 2. 53009 20552,True,COL 3. 90399 36580,COL 3. 90399 36580,True,3/3
base64decoded - 2026-01-21T163611.764.png,base64decoded - 2026-01-21T163611.764.png,COL 1. 21782 74499,COL 1. 21782 74499,True,COL 2. 71176 91777,COL 2. 71176 91777,True,COL 3. 61772 21132,,False,2/3
base64decoded - 2026-01-21T161119.943.png,base64decoded - 2026-01-21T161119.943.png,COL 1. 29139 92614,COL 1. 29139 92614,True,COL 2. 91060 26556,COL 2. 91060 26556,True,COL 3. 90890 18093,,False,2/3
109.jpeg,109.jpeg,COL 1. 91350 89704,COL 1. 91350 89704,True,COL 2. 81012 61378,COL 2. 81012 61378,True,COL 3. 00752 47274,COL 3. 00752 47274,True,3/3
base64decoded - 2026-01-21T154459.501.png,base64decoded - 2026-01-21T154459.501.png,COL 1. 19349 99337,COL 1. 19349 99337,True,COL 2. 50035 63373,COL 2. 50035 63373,True,COL 3. 20553 98451,COL 3. 20553 98451,True,3/3
base64decoded - 2026-01-21T155111.426.png,base64decoded - 2026-01-21T155111.426.png,COL 1. 43806 36732,COL 1. 43806 36732,True,COL 2. 04012 21859,COL 2. 04012 21859,True,COL 3. 90597 60015,COL 3. 90597 60015,True,3/3
base64decoded - 2026-01-21T163934.501.jfif,base64decoded - 2026-01-21T163934.501.jfif,COL 1. 92189 38406,COL 1. 92189 38406,True,COL 2. 01480 64350,COL 2. 01480 64350,True,COL 3. 04866 49630,COL 3. 04866 49630,True,3/3
base64decoded - 2026-01-21T164224.249.jfif,base64decoded - 2026-01-21T164224.249.jfif,COL 1. 10152 66176,COL 1. 10152 66176,True,COL 2. 51056 61779,COL 2. 51056 61779,True,COL 3. 80557 25618,COL 3. 80557 25618,True,3/3
base64decoded - 2026-01-21T154157.558.png,base64decoded - 2026-01-21T154157.558.png,COL 1. 47304 04703,COL 1. 47304 04703,True,COL 2. 10116 91371,,False,COL 3. 21772 94353,COL 3. 21772 94353,True,2/3
116.jfif,116.jfif,COL 1. 09387 97550,,False,COL 2. 81142 04368,,False,COL 3. 01846 40912,,False,0/3
base64decoded - 2026-01-21T160523.379.png,base64decoded - 2026-01-21T160523.379.png,COL 1. 99329 06758,COL 1. 99329 06758,True,COL 2. 71018 21359,COL 2. 71018 21359,True,COL 3. 20597 43097,COL 3. 20597 43097,True,3/3
base64decoded - 2026-01-21T160732.075.png,base64decoded - 2026-01-21T160732.075.png,COL 1. 60389 43594,COL 1. 60389 43594,True,COL 2. 60436 63354,COL 2. 60436 63354,True,COL 3. 24563 95206,COL 3. 24563 95206,True,3/3
215.png,215.png,COL 1. 84823 89896,COL 1. 84823 89896,True,COL 2. 46060 66875,COL 2. 46060 66875,True,COL 3. 30850 06063,COL 3. 30850 06063,True,3/3
base64decoded - 2026-01-21T154929.764.png,base64decoded - 2026-01-21T154929.764.png,COL 1. 15547 47114,COL 1. 15547 47114,True,COL 2. 81614 51519,COL 2. 81614 51519,True,COL 3. 36507 78317,COL 3. 36507 78317,True,3/3
201.png,201.png,COL 1. 32556 14583,COL 1. 32556 14583,True,COL 2. 61137 93573,COL 2. 61137 93573,True,COL 3. 61573 15015,COL 3. 61573 15015,True,3/3
base64decoded (95).png,base64decoded (95).png,COL 1. 40833 02893,COL 1. 40833 02893,True,COL 2. 86367 06895,COL 2. 86367 06895,True,COL 3. 23830 09175,COL 3. 23830 09175,True,3/3
base64decoded - 2026-01-21T151955.118.png,base64decoded - 2026-01-21T151955.118.png,COL 1. 70837 82598,,False,COL 2. 04303 00890,,False,COL 3. 23535 68883,COL 3. 23535 68883,True,1/3
19.jfif,19.jfif,COL 1. 49546 33311,COL 1. 49546 33311,True,COL 2. 61437 63554,COL 2. 61437 63554,True,COL 3. 94563 77018,COL 3. 94563 77018,True,3/3
base64decoded - 2026-01-21T154638.872.png,base64decoded - 2026-01-21T154638.872.png,COL 1. 79150 38691,COL 1. 79150 38691,True,COL 2. 01160 96546,COL 2. 01160 96546,True,COL 3. 91810 17538,COL 3. 91810 17538,True,3/3
base64decoded - 2026-01-21T160906.390.png,base64decoded - 2026-01-21T160906.390.png,COL 1. 14352 52031,,False,COL 2. 21307 00394,,False,COL 3. 03535 42351,,False,0/3
base64decoded - 2026-01-21T154308.966.png,base64decoded - 2026-01-21T154308.966.png,COL 1. 48177 49466,COL 1. 48177 49466,True,COL 2. 81149 64748,COL 2. 81149 64748,True,COL 3. 61826 20675,COL 3. 61826 20675,True,3/3
base64decoded - 2026-01-21T153536.686.png,base64decoded - 2026-01-21T153536.686.png,COL 1. 59538 73482,COL 1. 59538 73482,True,COL 2. 80019 21558,COL 2. 80019 21558,True,COL 3. 60792 52198,COL 3. 60792 52198,True,3/3
base64decoded - 2026-01-21T164046.945.jfif,base64decoded - 2026-01-21T164046.945.jfif,COL 1. 77584 89886,COL 1. 77584 89886,True,COL 2. 81159 61549,COL 2. 81159 61549,True,COL 3. 51521 70856,COL 3. 51521 70856,True,3/3
62.png,62.png,COL 1. 46050 30626,COL 1. 46050 30626,True,COL 2. 30065 66375,COL 2. 30065 66375,True,COL 3. 40850 94125,,False,2/3
76.png,76.png,COL 1. 59649 53450,,False,COL 2. 26040 34826,COL 2. 26040 34826,True,COL 3. 90886 07193,COL 3. 90886 07193,True,2/3
163.png,163.png,COL 1. 35723 00752,COL 1. 35723 00752,True,COL 2. 51102 90745,COL 2. 51102 90745,True,COL 3. 01515 29434,COL 3. 01515 29434,True,3/3
base64decoded - 2026-01-21T161240.214.jpg,base64decoded - 2026-01-21T161240.214.jpg,COL 1. 96515 53604,COL 1. 96515 53604,True,COL 2. 50469 66556,COL 2. 50469 66556,True,COL 3. 64860 58137,COL 3. 64860 58137,True,3/3
177.png,177.png,COL 1. 49153 80103,,False,COL 2. 01112 91341,,False,COL 3. 51712 47964,,False,0/3
89.png,89.png,COL 1. 31501 16122,,False,COL 2. 43066 26556,COL 2. 43066 26556,True,COL 3. 00890 31407,COL 3. 00890 31407,True,2/3
361.png,361.png,COL 1. 13491 34121,COL 1. 13491 34121,True,COL 2. 70119 91471,COL 2. 70119 91471,True,COL 3. 31577 89459,COL 3. 31577 89459,True,3/3
375.png,375.png,COL 1. 01448 09165,,False,COL 2. 94017 31822,COL 2. 94017 31822,True,COL 3. 60581 61390,COL 3. 60581 61390,True,2/3
base64decoded - 2026-01-21T152437.129.png,base64decoded - 2026-01-21T152437.129.png,COL 1. 67142 69190,COL 1. 67142 69190,True,COL 2. 41010 31521,COL 2. 41010 31521,True,COL 3. 90384 15379,,False,2/3
base64decoded (83).png,base64decoded (83).png,COL 1. 07450 59109,COL 1. 07450 59109,True,COL 2. 20115 91441,COL 2. 20115 91441,True,COL 3. 31314 81051,COL 3. 31314 81051,True,3/3
base64decoded - 2026-01-21T154538.098.png,base64decoded - 2026-01-21T154538.098.png,COL 1. 70079 54067,COL 1. 70079 54067,True,COL 2. 20109 60540,COL 2. 20109 60540,True,COL 3. 21428 51177,COL 3. 21428 51177,True,3/3
base64decoded - 2026-01-21T162150.212.png,base64decoded - 2026-01-21T162150.212.png,COL 1. 02785 49066,COL 1. 02785 49066,True,COL 2. 31136 60742,COL 2. 31136 60742,True,COL 3. 71329 28192,COL 3. 71329 28192,True,3/3
349.png,349.png,COL 1. 45595 94818,,False,COL 2. 73146 94574,COL 2. 73146 94574,True,COL 3. 81876 30682,COL 3. 81876 30682,True,2/3
base64decoded - 2026-01-21T161251.655.jpeg,base64decoded - 2026-01-21T161251.655.jpeg,COL 1. 76305 83256,COL 1. 76305 83255,False,COL 2. 61407 60351,COL 2. 61407 60351,True,COL 3. 04468 44954,COL 3. 04468 44954,True,2/3
base64decoded - 2026-01-21T154647.476.png,base64decoded - 2026-01-21T154647.476.png,COL 1. 66519 69351,COL 1. 66519 69351,True,COL 2. 53132 63543,COL 2. 53132 63543,True,COL 3. 01523 33885,,False,2/3
363.png,363.png,COL 1. 45586 95075,COL 1. 45586 95075,True,COL 2. 70603 50510,COL 2. 70603 50510,True,COL 3. 26505 54541,COL 3. 26505 54541,True,3/3
377.png,377.png,COL 1. 16843 85173,COL 1. 16843 85173,True,COL 2. 36060 36822,COL 2. 36060 36822,True,COL 3. 50880 07651,COL 3. 50880 07651,True,3/3
base64decoded - 2026-01-21T164028.507.jfif,base64decoded - 2026-01-21T164028.507.jfif,COL 1. 76310 30159,COL 1. 76310 30159,True,COL 2. 00172 91346,COL 2. 00172 91346,True,COL 3. 71712 93386,COL 3. 71712 93386,True,3/3
base64decoded - 2026-01-21T161154.835.jpg,base64decoded - 2026-01-21T161154.835.jpg,COL 1. 74554 20052,COL 1. 74554 20052,True,COL 2. 71100 90541,COL 2. 71100 90541,True,COL 3. 91319 12463,COL 3. 91319 12463,True,3/3
388.png,388.png,COL 1. 36856 09594,COL 1. 36856 09594,True,COL 2. 64017 61872,COL 2. 64017 61872,True,COL 3. 60551 62546,COL 3. 60551 62546,True,3/3
base64decoded - 2026-01-21T161346.108.jpeg,base64decoded - 2026-01-21T161346.108.jpeg,COL 1. 12865 49435,COL 1. 12865 49435,True,COL 2. 84013 61872,COL 2. 84013 61872,True,COL 3. 60551 62242,COL 3. 60551 62242,True,3/3
base64decoded - 2026-01-21T161954.232.png,base64decoded - 2026-01-21T161954.232.png,COL 1. 41883 87470,COL 1. 41883 87470,True,COL 2. 56100 00860,COL 2. 56100 00860,True,COL 3. 51545 05181,,False,2/3
base64decoded - 2026-01-21T164136.780.jpeg,base64decoded - 2026-01-21T164136.780.jpeg,COL 1. 92651 81058,COL 1. 92651 81058,True,COL 2. 06055 60874,COL 2. 06055 60874,True,COL 3. 50555 00734,COL 3. 50555 00734,True,3/3
149.png,149.png,COL 1. 28530 44031,COL 1. 28530 44031,True,COL 2. 53108 90574,COL 2. 53108 90574,True,COL 3. 01575 36953,COL 3. 01575 36953,True,3/3
161.png,161.png,COL 1. 06310 56602,,False,COL 2. 11002 20353,,False,COL 3. 90498 44299,,False,0/3
base64decoded - 2026-01-21T161434.361.jpeg,base64decoded - 2026-01-21T161434.361.jpeg,COL 1. 83518 05314,COL 1. 83518 05314,True,COL 2. 73002 30520,COL 2. 73002 30520,True,COL 3. 00389 31900,COL 3. 00389 31900,True,3/3
175.png,175.png,COL 1. 94512 77580,,False,COL 2. 31107 00564,COL 2. 31107 00564,True,COL 3. 91545 18858,,False,1/3
base64decoded - 2026-01-21T160532.578.png,base64decoded - 2026-01-21T160532.578.png,COL 1. 91503 35583,,False,COL 2. 51010 31521,,False,COL 3. 90587 12651,,False,0/3
base64decoded - 2026-01-21T152403.004.png,base64decoded - 2026-01-21T152403.004.png,COL 1. 56513 63654,,False,COL 2. 41464 66552,COL 2. 41464 66552,True,COL 3. 94860 76826,COL 3. 94860 76826,True,2/3
48.png,48.png,COL 1. 72786 79178,COL 1. 72786 79178,True,COL 2. 51014 61777,COL 2. 51014 61777,True,COL 3. 60752 22055,COL 3. 60752 22055,True,3/3
base64decoded - 2026-01-21T163619.365.png,base64decoded - 2026-01-21T163619.365.png,COL 1. 56507 74057,COL 1. 56507 74057,True,COL 2. 51159 90576,COL 2. 51159 90576,True,COL 3. 61575 11237,COL 3. 61575 11237,True,3/3
base64decoded - 2026-01-21T163741.450.png,base64decoded - 2026-01-21T163741.450.png,COL 1. 70327 57776,COL 1. 70327 57776,True,COL 2. 01612 51319,,False,COL 3. 46507 43988,COL 3. 46507 43988,True,2/3
base64decoded - 2026-01-21T161143.068.jpg,base64decoded - 2026-01-21T161143.068.jpg,COL 1. 42339 57138,,False,COL 2. 31617 51315,,False,COL 3. 46501 49244,,False,0/3
base64decoded - 2026-01-21T160124.627.png,base64decoded - 2026-01-21T160124.627.png,COL 1. 86572 29156,,False,COL 2. 81114 61549,,False,COL 3. 81527 74584,COL 3. 81527 74584,True,1/3
217.png,217.png,COL 1. 75556 91449,COL 1. 75556 91449,True,COL 2. 41147 94574,COL 2. 41147 94574,True,COL 3. 74876 16412,,False,2/3
203.png,203.png,COL 1. 33519 64275,,False,COL 2. 63106 90571,COL 2. 63106 90571,True,COL 3. 01478 36186,COL 3. 01478 36186,True,2/3
base64decoded - 2026-01-21T160249.457.png,base64decoded - 2026-01-21T160249.457.png,COL 1. 59327 00111,COL 1. 59327 00171,False,COL 2. 81117 91345,COL 2. 81117 91345,True,COL 3. 01511 49473,,False,1/3
base64decoded - 2026-01-21T161630.380.png,base64decoded - 2026-01-21T161630.380.png,COL 1. 65585 17493,COL 1. 65585 17493,True,COL 2. 11106 00562,COL 2. 11106 00562,True,COL 3. 71349 71438,COL 3. 71349 71438,True,3/3
base64decoded - 2026-01-21T154612.897.png,base64decoded - 2026-01-21T154612.897.png,COL 1. 47507 64050,COL 1. 47507 64056,False,COL 2. 30109 90570,,False,COL 3. 61575 58979,,False,0/3
base64decoded - 2026-01-21T161830.610.png,base64decoded - 2026-01-21T161830.610.png,COL 1. 60362 30229,COL 1. 60362 30229,True,COL 2. 00152 90346,COL 2. 00152 90346,True,COL 3. 51515 96165,COL 3. 51515 96165,True,3/3
base64decoded (76).png,base64decoded (76).png,COL 1. 91546 33311,,False,COL 2. 51430 63554,,False,COL 3. 94563 11318,,False,0/3
base64decoded (99).png,base64decoded (99).png,COL 1. 23524 27155,COL 1. 23524 27155,True,COL 2. 41610 51516,COL 2. 41610 51516,True,COL 3. 76702 15656,COL 3. 76702 15656,True,3/3
base64decoded - 2026-01-21T155127.340.png,base64decoded - 2026-01-21T155127.340.png,COL 1. 91870 29158,,False,COL 2. 76117 61848,,False,COL 3. 51722 01280,,False,0/3
202.png,202.png,COL 1. 15542 86059,COL 1. 15542 86059,True,COL 2. 51006 20554,COL 2. 51006 20554,True,COL 3. 90595 71387,COL 3. 90595 71387,True,3/3
216.png,216.png,COL 1. 37332 62032,COL 1. 37332 62032,True,COL 2. 50008 20350,COL 2. 50008 20350,True,COL 3. 40399 93278,COL 3. 40399 93278,True,3/3
base64decoded (21).png,base64decoded (21).png,COL 1. 43632 91151,,False,COL 2. 86117 01861,,False,COL 3. 51742 09741,COL 3. 51742 09741,True,1/3
